"SECONDS";"PID";"VALUE";"UNITS"
"44649.630968";"Berechneter Kraftstoffmengenfluss";"1.22044155861453";"L/h"
"44649.630968";"Durchschnittsverbrauch (gesamt)";"6.38904891254686";"L/100km"
"44649.630968";"Kraftstoffkosten";"0.00232459362302338";"€"
"44649.630968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44649.630968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.58286484765795";"kW"
"44649.630968";"Motordrehzahl";"803";"rpm"
"44649.630968";"verbrauchte Kraftstoffmenge";"0.00174781475415292";"L"
"44649.630968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46503124717797";"L"
"44649.841968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44649.841968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44649.841968";"Geschwindigkeit";"0";"km/h"
"44649.841968";"zurückgelegte Strecke";"0";"km"
"44649.841968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44650.094968";"Absolutdruck Einlasskanal";"35";"kPa"
"44650.094968";"Berechneter Boost";"-0.66325";"bar"
"44650.464968";"Durchschnittsgeschwindigkeit (GPS)";"0.333033545930706";"km/h"
"44650.464968";"Geschwindigkeit (GPS)";"0.964005661010742";"km/h"
"44650.465968";"Durchschnittsgeschwindigkeit (GPS)";"0.33308373211355";"km/h"
"44650.465968";"Geschwindigkeit (GPS)";"0.964005661010742";"km/h"
"44650.468968";"Durchschnittsgeschwindigkeit (GPS)";"0.333247551587651";"km/h"
"44650.468968";"Geschwindigkeit (GPS)";"0.865017074346542";"km/h"
"44650.477968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44650.477968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44650.914968";"Kühlmitteltemperatur";"41";"℃"
"44651.108968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44651.108968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44651.108968";"Geschwindigkeit";"0";"km/h"
"44651.108968";"zurückgelegte Strecke";"0";"km"
"44651.108968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44651.224968";"Durchschnittsgeschwindigkeit (GPS)";"0.431055021821024";"km/h"
"44651.224968";"Geschwindigkeit (GPS)";"1.6629401922226";"km/h"
"44651.227968";"Durchschnittsgeschwindigkeit (GPS)";"0.431449288810189";"km/h"
"44651.227968";"Geschwindigkeit (GPS)";"1.6629401922226";"km/h"
"44651.251968";"Durchschnittsgeschwindigkeit (GPS)";"0.434068880036852";"km/h"
"44651.251968";"Geschwindigkeit (GPS)";"1.53859384059906";"km/h"
"44651.302968";"Berechneter Kraftstoffmengenfluss";"1.20524303360066";"L/h"
"44651.302968";"Durchschnittsverbrauch (gesamt)";"6.39049984449412";"L/100km"
"44651.302968";"Kraftstoffkosten";"0.00306912824883959";"€"
"44651.302968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44651.302968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.55069965652896";"kW"
"44651.302968";"Motordrehzahl";"793";"rpm"
"44651.302968";"verbrauchte Kraftstoffmenge";"0.00230761522469142";"L"
"44651.302968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46559104764851";"L"
"44651.488968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44651.488968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44651.724968";"Absolutdruck Einlasskanal";"35";"kPa"
"44651.724968";"Berechneter Boost";"-0.66325";"bar"
"44652.103968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44652.103968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44652.103968";"Geschwindigkeit";"0";"km/h"
"44652.103968";"zurückgelegte Strecke";"0";"km"
"44652.103968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44652.165968";"Durchschnittsgeschwindigkeit (GPS)";"0.516708567551461";"km/h"
"44652.165968";"Geschwindigkeit (GPS)";"1.44829105138779";"km/h"
"44652.182968";"Durchschnittsgeschwindigkeit (GPS)";"0.518101113386973";"km/h"
"44652.182968";"Geschwindigkeit (GPS)";"1.44829105138779";"km/h"
"44652.318968";"Berechneter Kraftstoffmengenfluss";"1.20068347609649";"L/h"
"44652.318968";"Durchschnittsverbrauch (gesamt)";"6.3913780134508";"L/100km"
"44652.318968";"Kraftstoffkosten";"0.00351975392897275";"€"
"44652.318968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44652.318968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.54105009919026";"kW"
"44652.318968";"Motordrehzahl";"790";"rpm"
"44652.318968";"verbrauchte Kraftstoffmenge";"0.00264643152554342";"L"
"44652.318968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46592986394936";"L"
"44652.581968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44652.581968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44652.770968";"Absolutdruck Einlasskanal";"35";"kPa"
"44652.770968";"Berechneter Boost";"-0.66325";"bar"
"44653.151968";"Durchschnittsgeschwindigkeit (GPS)";"0.490685382407416";"km/h"
"44653.151968";"Geschwindigkeit (GPS)";"0.172825482487679";"km/h"
"44653.170968";"Durchschnittsgeschwindigkeit (GPS)";"0.490196472400446";"km/h"
"44653.170968";"Geschwindigkeit (GPS)";"0.172825482487679";"km/h"
"44653.191968";"Kühlmitteltemperatur";"42";"℃"
"44653.448968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44653.448968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44653.448968";"Geschwindigkeit";"0";"km/h"
"44653.448968";"zurückgelegte Strecke";"0";"km"
"44653.448968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44653.655968";"Berechneter Kraftstoffmengenfluss";"1.17636583607428";"L/h"
"44653.655968";"Durchschnittsverbrauch (gesamt)";"6.39250969087271";"L/100km"
"44653.655968";"Kraftstoffkosten";"0.00410046553812651";"€"
"44653.655968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44653.655968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.48958579338388";"kW"
"44653.655968";"Motordrehzahl";"774";"rpm"
"44653.655968";"verbrauchte Kraftstoffmenge";"0.00308305679558384";"L"
"44653.655968";"verbrauchte Kraftstoffmenge (gesamt)";"2.4663664892194";"L"
"44653.838968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44653.838968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44654.114968";"Absolutdruck Einlasskanal";"36";"kPa"
"44654.114968";"Berechneter Boost";"-0.65325";"bar"
"44654.135968";"Durchschnittsgeschwindigkeit (GPS)";"0.473606474703016";"km/h"
"44654.135968";"Geschwindigkeit (GPS)";"0.263474893569946";"km/h"
"44654.148968";"Durchschnittsgeschwindigkeit (GPS)";"0.473392332893485";"km/h"
"44654.148968";"Geschwindigkeit (GPS)";"0.263474893569946";"km/h"
"44654.509968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44654.509968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44654.509968";"Geschwindigkeit";"0";"km/h"
"44654.509968";"zurückgelegte Strecke";"0";"km"
"44654.509968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44654.698968";"Berechneter Kraftstoffmengenfluss";"1.26625425544209";"L/h"
"44654.698968";"Durchschnittsverbrauch (gesamt)";"6.39346091976195";"L/100km"
"44654.698968";"Kraftstoffkosten";"0.00458858136358144";"€"
"44654.698968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44654.698968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.67981992377534";"kW"
"44654.698968";"Motordrehzahl";"810";"rpm"
"44654.698968";"verbrauchte Kraftstoffmenge";"0.00345006117562515";"L"
"44654.698968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46673349359944";"L"
"44654.911968";"Abs. Drosselklappenstellung";"6.27450980392157";"%"
"44654.911968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44655.100968";"Absolutdruck Einlasskanal";"34";"kPa"
"44655.100968";"Berechneter Boost";"-0.67325";"bar"
"44655.160968";"Durchschnittsgeschwindigkeit (GPS)";"0.458838731214584";"km/h"
"44655.160968";"Geschwindigkeit (GPS)";"0.269001692533493";"km/h"
"44655.168968";"Durchschnittsgeschwindigkeit (GPS)";"0.458740318316485";"km/h"
"44655.168968";"Geschwindigkeit (GPS)";"0.269001692533493";"km/h"
"44655.476968";"Kühlmitteltemperatur";"42";"℃"
"44655.722968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44655.722968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44655.722968";"Geschwindigkeit";"0";"km/h"
"44655.722968";"zurückgelegte Strecke";"0";"km"
"44655.722968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44655.910968";"Berechneter Kraftstoffmengenfluss";"1.17228394649913";"L/h"
"44655.910968";"Durchschnittsverbrauch (gesamt)";"6.39448377713331";"L/100km"
"44655.910968";"Kraftstoffkosten";"0.00511345279651043";"€"
"44655.910968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44655.910968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.48094714205209";"kW"
"44655.910968";"Motordrehzahl";"794";"rpm"
"44655.910968";"verbrauchte Kraftstoffmenge";"0.00384470135075972";"L"
"44655.910968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46712813377458";"L"
"44656.100968";"Abs. Drosselklappenstellung";"6.27450980392157";"%"
"44656.100968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"-1";""
"44656.286968";"Absolutdruck Einlasskanal";"34";"kPa"
"44656.286968";"Berechneter Boost";"-0.67325";"bar"
"44656.705968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44656.705968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44656.705968";"Geschwindigkeit";"0";"km/h"
"44656.705968";"zurückgelegte Strecke";"0";"km"
"44656.705968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44656.923968";"Berechneter Kraftstoffmengenfluss";"1.13537324289399";"L/h"
"44656.923968";"Durchschnittsverbrauch (gesamt)";"6.39531231577838";"L/100km"
"44656.923968";"Kraftstoffkosten";"0.00553861106202655";"€"
"44656.923968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44656.923968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.40283167788169";"kW"
"44656.923968";"Motordrehzahl";"769";"rpm"
"44656.923968";"verbrauchte Kraftstoffmenge";"0.00416436921956883";"L"
"44656.923968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46744780164339";"L"
"44657.118968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44657.118968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"1";""
"44657.315968";"Absolutdruck Einlasskanal";"36";"kPa"
"44657.315968";"Berechneter Boost";"-0.65325";"bar"
"44657.724968";"Kühlmitteltemperatur";"43";"℃"
"44657.978968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44657.978968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44657.978968";"Geschwindigkeit";"0";"km/h"
"44657.978968";"zurückgelegte Strecke";"0";"km"
"44657.978968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44658.137968";"Durchschnittsgeschwindigkeit (GPS)";"0.411723738206211";"km/h"
"44658.137968";"Geschwindigkeit (GPS)";"0.186560055613518";"km/h"
"44658.148968";"Durchschnittsgeschwindigkeit (GPS)";"0.411578110220149";"km/h"
"44658.148968";"Geschwindigkeit (GPS)";"0.186560055613518";"km/h"
"44658.223968";"Berechneter Kraftstoffmengenfluss";"1.24280510256353";"L/h"
"44658.223968";"Durchschnittsverbrauch (gesamt)";"6.39647497487529";"L/100km"
"44658.223968";"Kraftstoffkosten";"0.00613522068062384";"€"
"44658.223968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44658.223968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"2.63019362889061";"kW"
"44658.223968";"Motordrehzahl";"795";"rpm"
"44658.223968";"verbrauchte Kraftstoffmenge";"0.0046129478801683";"L"
"44658.223968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46789638030399";"L"
"44658.412968";"Abs. Drosselklappenstellung";"6.66666666666667";"%"
"44658.412968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"1";""
"44658.622968";"Absolutdruck Einlasskanal";"37";"kPa"
"44658.622968";"Berechneter Boost";"-0.64325";"bar"
"44659.102968";"Durchschnittsgeschwindigkeit";"0";"km/h"
"44659.102968";"Fahrzeugbeschleunigung";"0";"m_sec2"
"44659.102968";"Geschwindigkeit";"0";"km/h"
"44659.102968";"zurückgelegte Strecke";"0";"km"
"44659.102968";"zurückgelegte Strecke (gesamt)";"38.5821314082778";"km"
"44659.132968";"Durchschnittsgeschwindigkeit (GPS)";"0.389319594735011";"km/h"
"44659.132968";"Geschwindigkeit (GPS)";"0";"km/h"
"44659.160968";"Durchschnittsgeschwindigkeit (GPS)";"0.388709908960359";"km/h"
"44659.160968";"Geschwindigkeit (GPS)";"0";"km/h"
"44659.381968";"Berechneter Kraftstoffmengenfluss";"3.49457514426275";"L/h"
"44659.381968";"Durchschnittsverbrauch (gesamt)";"6.39938890429453";"L/100km"
"44659.381968";"Kraftstoffkosten";"0.00763048126393573";"€"
"44659.381968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44659.381968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"7.39569644601579";"kW"
"44659.381968";"Motordrehzahl";"2030";"rpm"
"44659.381968";"verbrauchte Kraftstoffmenge";"0.00573720395784641";"L"
"44659.381968";"verbrauchte Kraftstoffmenge (gesamt)";"2.46902063638167";"L"
"44659.604968";"Abs. Drosselklappenstellung";"16.4705882352941";"%"
"44659.604968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"1";""
"44659.937968";"Absolutdruck Einlasskanal";"64";"kPa"
"44659.937968";"Berechneter Boost";"-0.37325";"bar"
"44660.737968";"Kühlmitteltemperatur";"44";"℃"
"44660.922968";"Berechneter momentaner Kraftstoffverbrauch";"116.485838142092";"L/100km"
"44660.922968";"Durchschnittsgeschwindigkeit";"0.354541908261896";"km/h"
"44660.922968";"Fahrzeugbeschleunigung";"0.160258256308247";"m_sec2"
"44660.922968";"Geschwindigkeit";"3";"km/h"
"44660.922968";"zurückgelegte Strecke";"0.00151652416666667";"km"
"44660.922968";"zurückgelegte Strecke (gesamt)";"38.5836479324445";"km"
"44661.152968";"Berechneter Kraftstoffmengenfluss";"3.78164116263715";"L/h"
"44661.152968";"Durchschnittsverbrauch";"501.00746281179";"L/100km"
"44661.152968";"Durchschnittsverbrauch (gesamt)";"6.4039598744017";"L/100km"
"44661.152968";"Kraftstoffkosten";"0.0101052060029579";"€"
"44661.152968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44661.152968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"8.0032246988705";"kW"
"44661.152968";"Motordrehzahl";"1270";"rpm"
"44661.152968";"verbrauchte Kraftstoffmenge";"0.00759789925034431";"L"
"44661.152968";"verbrauchte Kraftstoffmenge (gesamt)";"2.47088133167416";"L"
"44661.429968";"Abs. Drosselklappenstellung";"16.4705882352941";"%"
"44661.429968";"Verbrauchsoptimierung (basierend auf Status des Kraftstoffsystems und Gasstellung)";"1";""
"44661.549968";"Durchschnittsgeschwindigkeit (GPS)";"0.886170837732733";"km/h"
"44661.549968";"Geschwindigkeit (GPS)";"4.67848792076111";"km/h"
"44661.555968";"Durchschnittsgeschwindigkeit (GPS)";"0.887146183152762";"km/h"
"44661.555968";"Geschwindigkeit (GPS)";"4.67848792076111";"km/h"
"44661.655968";"Absolutdruck Einlasskanal";"74";"kPa"
"44661.655968";"Berechneter Boost";"-0.27325";"bar"
"44662.146968";"Berechneter momentaner Kraftstoffverbrauch";"37.8164116263715";"L/100km"
"44662.146968";"Durchschnittsgeschwindigkeit";"1.06490393394672";"km/h"
"44662.146968";"Fahrzeugbeschleunigung";"0.510495796641933";"m_sec2"
"44662.146968";"Geschwindigkeit";"10";"km/h"
"44662.146968";"zurückgelegte Strecke";"0.00491717388888889";"km"
"44662.146968";"zurückgelegte Strecke (gesamt)";"38.5870485821667";"km"
"44662.401968";"Berechneter Kraftstoffmengenfluss";"5.95282800436483";"L/h"
"44662.401968";"Durchschnittsverbrauch";"196.500313752547";"L/100km"
"44662.401968";"Durchschnittsverbrauch (gesamt)";"6.40874538325311";"L/100km"
"44662.401968";"Kraftstoffkosten";"0.0128508086188352";"€"
"44662.401968";"Kraftstoffkosten (gesamt)";"3.28";"€"
"44662.401968";"Momentane Motorleistung (basierend auf dem Kraftstoffverbrauch)";"12.5981863597648";"kW"
"44662.401968";"Motordrehzahl";"1729";"rpm"
"44662.401968";"verbrauchte Kraftstoffmenge";"0.00966226211942497";"L"
